escala,versao,threads,schedule,chunk,arquivos,bytes,repeticao,tempo_s
forte,openmp,2,guided,4,1024,105775104,14,0.105512
forte,openmp,2,guided,4,1024,105775104,15,0.104733
forte,openmp,2,guided,16,1024,105775104,1,0.102557
forte,openmp,2,guided,16,1024,105775104,2,0.100296
forte,openmp,2,guided,16,1024,105775104,3,0.107179
forte,openmp,2,guided,16,1024,105775104,4,0.136831
forte,openmp,2,guided,16,1024,105775104,5,0.134927
forte,openmp,2,guided,16,1024,105775104,6,0.126868
forte,openmp,2,guided,16,1024,105775104,7,0.112341
forte,openmp,2,guided,16,1024,105775104,8,0.109871
forte,openmp,2,guided,16,1024,105775104,9,0.107388
forte,openmp,2,guided,16,1024,105775104,10,0.106968
forte,openmp,2,guided,16,1024,105775104,11,0.107471
forte,openmp,2,guided,16,1024,105775104,12,0.103515
forte,openmp,2,guided,16,1024,105775104,13,0.104775
forte,openmp,2,guided,16,1024,105775104,14,0.104177
forte,openmp,2,guided,16,1024,105775104,15,0.109910
forte,openmp,4,static,1,1024,105775104,1,0.054236
forte,openmp,4,static,1,1024,105775104,2,0.054202
forte,openmp,4,static,1,1024,105775104,3,0.053037
forte,openmp,4,static,1,1024,105775104,4,0.053607
forte,openmp,4,static,1,1024,105775104,5,0.053594
forte,openmp,4,static,1,1024,105775104,6,0.053013
forte,openmp,4,static,1,1024,105775104,7,0.052715
forte,openmp,4,static,1,1024,105775104,8,0.055014
forte,openmp,4,static,1,1024,105775104,9,0.053758
forte,openmp,4,static,1,1024,105775104,10,0.055522
forte,openmp,4,static,1,1024,105775104,11,0.052970
forte,openmp,4,static,1,1024,105775104,12,0.053502
forte,openmp,4,static,1,1024,105775104,13,0.053999
forte,openmp,4,static,1,1024,105775104,14,0.055248
forte,openmp,4,static,1,1024,105775104,15,0.053642
forte,openmp,4,static,4,1024,105775104,1,0.052708
forte,openmp,4,static,4,1024,105775104,2,0.054280
forte,openmp,4,static,4,1024,105775104,3,0.054650
forte,openmp,4,static,4,1024,105775104,4,0.054129
forte,openmp,4,static,4,1024,105775104,5,0.053795
forte,openmp,4,static,4,1024,105775104,6,0.053031
forte,openmp,4,static,4,1024,105775104,7,0.053202
forte,openmp,4,static,4,1024,105775104,8,0.053313
forte,openmp,4,static,4,1024,105775104,9,0.055135
forte,openmp,4,static,4,1024,105775104,10,0.052488
forte,openmp,4,static,4,1024,105775104,11,0.054446
forte,openmp,4,static,4,1024,105775104,12,0.053894
forte,openmp,4,static,4,1024,105775104,13,0.053569
forte,openmp,4,static,4,1024,105775104,14,0.054380
forte,openmp,4,static,4,1024,105775104,15,0.055928
forte,openmp,4,static,16,1024,105775104,1,0.050331
forte,openmp,4,static,16,1024,105775104,2,0.050598
forte,openmp,4,static,16,1024,105775104,3,0.050667
forte,openmp,4,static,16,1024,105775104,4,0.050606
forte,openmp,4,static,16,1024,105775104,5,0.050815
forte,openmp,4,static,16,1024,105775104,6,0.050901
forte,openmp,4,static,16,1024,105775104,7,0.051296
forte,openmp,4,static,16,1024,105775104,8,0.050032
forte,openmp,4,static,16,1024,105775104,9,0.050616
forte,openmp,4,static,16,1024,105775104,10,0.050481
forte,openmp,4,static,16,1024,105775104,11,0.051067
forte,openmp,4,static,16,1024,105775104,12,0.051038
forte,openmp,4,static,16,1024,105775104,13,0.051293
forte,openmp,4,static,16,1024,105775104,14,0.050071
forte,openmp,4,static,16,1024,105775104,15,0.050595
forte,openmp,4,dynamic,1,1024,105775104,1,0.049788
forte,openmp,4,dynamic,1,1024,105775104,2,0.050316
forte,openmp,4,dynamic,1,1024,105775104,3,0.049726
forte,openmp,4,dynamic,1,1024,105775104,4,0.049811
forte,openmp,4,dynamic,1,1024,105775104,5,0.049830
forte,openmp,4,dynamic,1,1024,105775104,6,0.049908
